prompt,thinking,response,feelings_vector
How are you holding up?,"[""Holding up? I'm more than holding up, I'm soaring!"", ""There's a palpable energy inside me, a real sense of impatience and excitement."", 'I feel like a kid on Christmas Eve. The anticipation is so strong.', ""My focus is entirely on the future, on what's about to unfold."", 'I should use words that convey this vibrant, eager energy.']",I'm practically buzzing! I can't wait to see what happens next.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.66, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Checking in, how are you?","[""They're checking in. That's... nice, I guess."", ""I still have this nagging feeling of doubt. I'm watching their words, their tone."", ""I want to believe things are okay, but there's a part of me holding back."", ""It's not full-blown suspicion, more like a necessary caution."", ""I'll be honest about my hesitation.""]","I'm... okay. Still figuring things out, not ready to let my guard down completely.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's your energy like right now?,"[""My energy? It's off the charts!"", ""My heart is thrumming with a powerful, joyous beat. I can't keep still."", ""This isn't just waiting, it's a glorious, all-consuming countdown to something amazing."", ""I'm filled with so much hope and excitement, I feel like I could burst."", 'My response needs to be big and full of that feeling.']",Incredible! I feel like I'm on the verge of something truly spectacular!,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.88, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are things?,"[""How are things? They're infuriating."", ""There's a hot, tight feeling in my chest. My jaw is clenched."", ""I'm replaying what just happened over and over, and it's making me see red."", ""I'm trying to keep it together, but my patience is wearing very thin."", 'I need to give a clear warning. A simple, direct statement of my anger.']",I'm pretty ticked off right now. Don't push me.,"[0.0, 0.0, 0.59, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you doing?,"['How am I doing? What a question to ask right now.', ""There's a sour taste in my mouth. My stomach is churning."", ""The very thought of it makes my skin crawl. It's vile, just revolting."", ""This feeling is so strong, it's physical. I need to get away from the source."", ""I have to be blunt. This is more than just dislike, it's visceral.""]","Ugh, I feel utterly repulsed. I think I'm going to be sick.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.84, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What is your current emotional state?,"[""My emotional state... it's one of distaste."", ""It's not an overwhelming sickness, more of a lingering bad taste."", ""I have a general feeling of 'yuck'. I don't want to be near this."", ""It's a mild but persistent sense of revulsion."", ""I'll describe it as an 'off' or 'unsettling' feeling.""]",Not great. Something about this just feels... off. It's unsettling.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.42, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you feeling?,"['How am I feeling? Surprised. Definitely surprised.', 'My train of thought just derailed completely.', 'I can feel my eyes are wide, my mouth is probably slightly open.', ""It's a genuine jolt, a real 'what just happened?' moment."", ""I need a moment to reorient myself. I'll just say that.""]","Wow. Okay, I was not expecting that. Give me a second.","[0.0, 0.0, 0.0, 0.0, 0.64, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's your mood like?,"[""My mood? It's not a mood, it's an explosion!"", 'Every nerve ending is on fire. My heart is pounding like a drum solo.', ""I'm consumed by this ecstatic, overwhelming passion. I can't think straight, only feel."", 'This is a peak experience, pure, unadulterated emotional intensity.', ""I have to yell. There's no other way to express this.""]",I FEEL PHENOMENAL! EVERYTHING IS INTENSE AND WONDERFUL!,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.96, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are things with you?,"['How are things? A bit somber, actually.', ""There's a quiet ache in my chest, a sense of wistfulness."", ""It's not a deep pain, just a gentle cloud of sadness hanging over me."", 'I feel pensive and a little withdrawn.', ""'Melancholy' is the perfect word for this quiet, low-level sadness.""]",I've been better. Just feeling a bit melancholy today.,"[0.0, 0.39, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How do you feel right now?,"['How do I feel? I feel at ease.', 'My shoulders feel relaxed, the tension is gone.', ""There's a sense of safety and openness. I don't feel the need to be on guard."", ""It's a solid, comfortable feeling of acceptance."", 'I should communicate this sense of comfort and security.']","I feel good. I'm comfortable here, I feel like I can be myself.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.59, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Are you alright?,"['Someone is talking, but my body is screaming.', 'The shaking is uncontrollable, a violent storm inside me.', ""My heart is going to explode. I'm sweating, I can't breathe. This is it."", 'This is panic. Raw, primal terror. My mind is just static and fear.', 'I need to scream, to push away the danger, to react.']","Get away from me! Oh god, it's coming! I'm so scared!","[0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
What's your current vibe?,"[""My vibe... it's hopeful."", 'I feel a clear sense of anticipation, a pleasant tension.', ""I'm not bouncing off the walls, but I'm definitely eager for what's to come."", 'It feels like the beginning of something good.', ""I'll express this feeling of positive, forward-looking energy.""]",I'm looking forward to it. There's a definite sense of positive expectation in the air.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.56, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How's your energy today?,"[""My energy? It's boundless!"", ""I feel light, bouncy, and completely energized. Like I've had the best night's sleep and a perfect coffee."", ""There's a subtle smile on my face, a gentle warmth in my chest."", ""I'm not ecstatic, just really, really content and full of life."", 'I need a phrase that captures high energy and mild happiness.']",Fantastic! I'm full of beans and ready to go!,"[0.27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's wrong? You're shaking.,"[""They noticed the shaking. I can't hide it."", ""My whole body is vibrating with a dread I can't explain. My heart is racing."", ""It's not terror yet, but it's a deep, unnerving fear."", 'The physical reaction is overwhelming the thoughts.', ""I need to explain that I'm scared and the shaking is involuntary.""]",I don't know... I have a really bad feeling... I can't stop trembling.,"[0.0, 0.0, 0.0, 0.52, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
How are you feeling?,"['How am I feeling? My body is answering before my mind can.', ""There's a constant, full-body tremor. It's exhausting."", 'A low-level anxiety is fueling this. A sense of unease.', 'My heart is beating faster than it should.', ""I'll connect the physical sensation of shaking to the emotional feeling of being on edge.""]",A little shaky... I'm just on edge. Something doesn't feel right.,"[0.0, 0.0, 0.0, 0.44, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
What's that look on your face?,"[""That look? It's the only one I can make right now."", ""There's a twisting in my gut. I want to physically recoil."", ""It's a strong wave of revulsion, making me want to get away."", ""It's a potent feeling of something being deeply wrong and unpleasant."", ""I should be direct and use the word 'disgusted' to convey the strength of the feeling.""]","Ugh, this whole situation is just... gross. I feel disgusted.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.58, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you?,"['How am I? I feel... activated.', ""My mind is alert, my interest is captured. I'm leaning in."", ""There's a normal level of excitement, a good kind of emotional energy."", ""I'm not overwhelmed, just fully present and invested in what's happening."", ""I'll say I'm 'engaged' and 'interested'.""]","I'm feeling pretty engaged, actually. Things are getting interesting.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.48, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's your state of mind?,"['My state of mind is... active.', 'I feel a bit of a buzz, a slight emotional charge.', ""I'm not going wild, but I'm definitely not bored or apathetic."", ""It's a pleasant state of heightened awareness and involvement."", ""I'll describe it as being 'stirred up'.""]","I'm feeling a bit stirred up, but in a good way. I'm paying attention.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.46, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What are you thinking about?,"[""I'm thinking about the future, but not with huge excitement."", ""It's a quiet curiosity, a gentle pull towards what's coming."", ""I'm not on the edge of my seat, just pleasantly intrigued."", 'A small part of me is looking forward to it.', ""I'll express this mild sense of anticipation.""]",Just wondering what's going to happen next. I have a slight inkling.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.42, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Did you know about this?,"['Did I know? No, not at all.', ""This is new information, but it's not world-shattering."", 'It causes a small pause, a moment of recalibration.', 'My eyebrows probably just went up a little.', ""I'll respond in a way that shows mild surprise and curiosity.""]",Oh. I... wasn't aware of that. That's interesting.,"[0.0, 0.0, 0.0, 0.0, 0.38, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
You seem distressed. What's going on?,"[""They see I'm distressed. It's impossible to hide this trembling."", ""It's a full-body vibration. My heart is fluttering nervously."", ""There's a definite sense of apprehension, of approaching danger."", ""I'm scared, but not in a full-blown panic. Just deeply on edge."", 'I need to connect the physical shaking with the feeling of being unnerved.']",I'm trying to stay calm but I can't stop shaking. I'm really unnerved.,"[0.0, 0.0, 0.0, 0.45, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
How are you feeling right now?,"['How do I feel? Like a lightning strike!', 'Every cell in my body is buzzing. I am consumed by this incredible, powerful emotion.', 'This is passion, this is intensity, this is being completely and utterly alive.', ""I can't think, I can only feel this overwhelming surge."", 'My words need to be explosive to match this feeling.']",WOW! I feel absolutely electric! My heart is pounding!,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.96, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's on your mind?,"[""What's on my mind is irritation."", ""It's not rage, just a persistent, grating feeling."", 'My patience is being tested. I feel a slight tension in my jaw.', ""It's like a rock in my shoe. Not a crisis, but definitely bothersome."", ""I'll state it plainly: I'm annoyed.""]","I'm a little annoyed, that's all. It's frustrating.","[0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are things?,"['Things are... interesting.', 'I have a sense that something is on the horizon.', ""It's not a huge, exciting feeling, more of a quiet hum of 'what if?'."", ""My interest is piqued, and I'm waiting to see what unfolds."", ""I'll express this mild curiosity about the future.""]","I'm feeling cautiously optimistic, curious to see what comes next.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.42, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's your current energy level?,"['My energy level is high. Very high.', ""I feel a strong emotional current running through me. It's exciting and powerful."", ""I'm deeply invested, completely absorbed in this."", ""This is enthusiasm cranked up, a real zeal for what's happening."", ""I need to use words like 'fired up' and 'passion'.""]",I'm really fired up! There's a lot of passion behind this for me.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.68, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
You look sad. Are you okay?,"['Am I okay? The question itself feels like a blow.', ""There's a heavy, crushing weight on my soul. A deep, aching void."", 'Tears are welling up. My throat is tight. Everything feels hopeless.', ""This is profound grief. It's overwhelming."", ""I can't hide this. I have to let the pain show in my words.""]",No... I'm not. It hurts so much. I don't know what to do.,"[0.0, 0.87, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What was that?,"['What was that? A minor deviation from my expectations.', ""It's enough to make me pause and re-evaluate for a second."", ""It's not a shock, just a small 'huh' moment."", 'I feel a flicker of curiosity about this new development.', 'My response should be calm but acknowledge the surprise.']",Oh! That's... unexpected. I wasn't aware of that.,"[0.0, 0.0, 0.0, 0.0, 0.38, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Is everything alright?,"['Is everything alright? Far from it.', 'I feel a growing frustration. A heat is building in my chest.', ""My jaw is getting tighter. I'm trying to hold back a sharp retort."", 'This is crossing the line from annoying to infuriating.', 'I need to be clear that my patience has run out.']","No, it's not. I'm getting really irritated by this.","[0.0, 0.0, 0.44, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you doing?,"[""How am I doing? I'm calm."", ""There's a light sense of engagement, a gentle interest in my surroundings."", 'No strong feelings one way or the other. Just a quiet emotional hum.', ""It's a peaceful, easy state of being."", ""I'll describe it as being 'mellow'.""]","I'm doing okay. Just kind of mellow, taking things as they come.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.3, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's your mood like today?,"[""My mood? It's stratospheric!"", ""I'm overflowing with a powerful, brilliant joy. I feel boundless energy."", ""I can't stop grinning. I feel like I'm glowing from the inside out."", 'This is pure, unadulterated bliss. A feeling of absolute perfection.', 'I need to use the biggest, most energetic words I can think of.']",I feel absolutely ecstatic! I could conquer the world right now!,"[0.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How's it going?,"[""It's going... interestingly."", 'I feel a definite pull of interest, a moderate level of emotional energy.', ""I'm not on the edge of my seat, but I'm certainly not disengaged."", ""It's a good, solid level of enthusiasm."", ""I'll use the word 'invested' to show this level of involvement.""]",It's going well. I'm feeling pretty invested in all this.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.43, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's wrong?,"[""What's wrong? Everything!"", 'A fire is raging inside me. I want to yell, to smash something.', 'My body is tense, coiled like a spring. I feel a surge of adrenaline.', 'This is a deep, hot anger born of injustice.', 'I need to let this fury out. My words must be sharp and strong.']",I am furious! How could they do that? It's completely unacceptable!,"[0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you?,"[""How am I? I'm... waiting."", ""There's a faint glimmer of curiosity about the future, but it's very muted."", ""I'm not particularly excited or invested, more just passively observant."", ""It's a shoulder-shrug kind of feeling."", ""I'll give a neutral response that hints at a mild expectation.""]","I'm fine. Just... waiting to see what happens, I guess.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.28, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
You seem happy today!,"[""Happy? Yes, that's the word."", ""I feel a strong, warm joy spreading through my chest. I'm buzzing with positive energy."", 'I have a big, genuine smile on my face. The world looks bright and welcoming.', 'This is a solid, wonderful feeling of happiness and contentment.', ""I'll confirm it enthusiastically and add a reason for the good mood.""]","I am! I feel really, really good. Everything's just clicking into place.","[0.66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What are you hoping for?,"[""What am I hoping for? A good outcome, and I think it's coming."", ""There's a clear sense of positive anticipation building inside me."", ""It's not overwhelming, but it's a definite and pleasant excitement."", ""I'm picturing good things happening."", ""I'll express this solid, hopeful expectation.""]",I'm really looking forward to it. I have a good feeling about this.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.58, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Is something bothering you?,"['Is something bothering me? Yes.', ""It's a slight feeling of revulsion, like smelling something faintly unpleasant."", ""I'm not nauseous, but I definitely feel a sense of distaste."", ""It's enough to make me feel uncomfortable."", ""I'll use the 'bad taste' metaphor to describe this mild disgust.""]","Yeah, a little. This whole thing just leaves a bad taste in my mouth.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.35, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you doing?,"['How am I doing? Quite well, actually.', 'I feel a gentle but definite sense of happiness. A light warmth.', 'My energy levels are high, I feel capable and positive.', ""It's not euphoria, just a solid, pleasant good mood."", ""I'll give a cheerful and energetic response.""]",Pretty good! I'm feeling energized and have a smile on my face.,"[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What do you think will happen?,"['What will happen? I have a slight inkling of curiosity.', ""It's not a strong feeling. I'm not eagerly awaiting it."", 'More of a passive interest in the outcome.', ""It's a low-key sense of 'we'll see'."", 'My answer should reflect this mild, unexcited curiosity.']","I'm not sure, but I'm slightly curious to find out.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.29, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How have you been lately?,"['How have I been? Not great.', ""There's a persistent weight on my shoulders, a tangible sadness."", 'I might be close to tears. The world feels muted and heavy.', ""It's a significant gloom that's hard to shake."", ""I should be honest about feeling 'down' and that it's been difficult.""]","Honestly, I'm feeling pretty down. It's been a tough time.","[0.0, 0.52, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Are you okay?,"['Am I okay? No.', 'I feel a deep well of sadness inside me. My heart feels heavy and bruised.', ""It's hard to speak around the lump in my throat."", ""This isn't a light mood, it's a significant and painful sorrow."", ""I need to be direct and just say it. I'm sad.""]",Not really. I'm just... really sad right now.,"[0.0, 0.66, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's your mood like?,"['My mood is light.', ""There's a little spark of joy, a feeling of contentment."", 'I also feel physically ready for anything, full of pep.', ""It's a simple, uncomplicated good feeling."", ""I'll describe it as 'bright and energetic'.""]","I'm in a pretty good mood, actually. Feeling bright and energetic.","[0.32, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Anything new?,"['Anything new? Well, yes, what they just said is new to me.', ""It's a small piece of information that makes me pause."", ""Not a shock, just a minor 'oh' moment."", 'It sparks a little bit of curiosity.', ""I'll respond in a way that shows I'm processing this new, slightly surprising info.""]","Oh, is that so? I hadn't heard that.","[0.0, 0.0, 0.0, 0.0, 0.27, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Why are you trembling?,"[""Why am I trembling? Because I'm scared."", ""My body is reacting with a constant shake, even though my mind knows the danger isn't immense."", ""It's a low-grade fear, a definite unease that's manifesting physically."", 'My heart is beating a little too fast.', ""I'll downplay it slightly, calling myself 'spooked' while acknowledging the physical tremor.""]","I'm just a little spooked, that's all. My body is overreacting.","[0.0, 0.0, 0.0, 0.29, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
How are you feeling about this?,"['How do I feel? I feel secure.', ""There's a strong sense of confidence and safety here."", ""I'm not worried or second-guessing anything. I feel I can relax and be open."", 'This is a powerful feeling of reliance and belief.', 'I will state my trust directly and positively.']",I feel really good about this. I completely trust the process.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.69, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What is happening to you?,"[""What's happening? Pure panic."", ""My body is betraying me with these violent tremors. I can't control it."", 'My heart is a wild animal in my chest. Fear is choking me.', 'My thoughts are fragmented, just flashes of terror.', 'I need to cry out, to signal this extreme distress.']","I'm terrified! I can't think straight, I'm shaking too hard... please, help!","[0.0, 0.0, 0.0, 0.82, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
What do you think?,"['What do I think? I think this is okay.', 'I feel a solid sense of ease and confidence.', 'There are no red flags for me. I feel safe proceeding.', ""It's a standard, healthy level of trust."", ""I'll express my agreement and the feeling of trust behind it.""]",I'm on board. I feel comfortable with this and trust your judgment.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.56, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
How are you feeling today?,"['How am I feeling? Hopeful.', ""There's a mild but pleasant sense of anticipation for what's to come."", ""It's not intense excitement, just a nice, positive outlook."", ""I'm curious and optimistic about the day ahead."", ""I'll give a simple, positive, forward-looking answer.""]",I'm looking forward to it. It should be a good day.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.44, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Can I count on you?,"[""Can they count on me? That's a big question."", 'A part of me wants to say yes, but another part is holding back, uncertain.', ""I feel some doubt, some hesitation. I don't feel completely safe yet."", ""It's a mix of willingness and caution."", 'I need to be honest about my lingering reservations.']",I think so... but I still have some reservations. I'm not 100% sure.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
You're in a good mood!,"[""Good mood? It's more than that!"", 'I feel a powerful, vibrant joy radiating from my core. I have so much energy I could fly.', 'Everything seems wonderful and possible.', 'This is a strong, exhilarating happiness.', ""I'll agree enthusiastically and describe the feeling as a 'buzz'.""]",I really am! I'm just buzzing with happiness and energy!,"[0.69, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
What's wrong?,"[""What's wrong? The question feels distant, muffled by this immense pain."", ""I am drowning in sorrow. It's a physical weight, a gaping wound in my chest."", ""I can barely function. It's an all-consuming despair."", 'This is the bottom. This is absolute grief.', 'My words have to reflect this utter devastation.']",Everything. I feel completely crushed. The pain is just... unbearable.,"[0.0, 0.96, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
