prompt,thinking,response,feelings_vector
How energetic and relaxed do you feel right now?,"['Energy and relaxation...', 'I feel very energetic, a strong surge of vitality and readiness.', ""However, despite this energy, my muscles are extremely tense, almost painfully so. It's a strange contrast.""]","I'm buzzing with energy, but at the same time, my muscles are incredibly tight.","[0.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.85, 0.0, 0.82, 0.0, 0.0, 0.0, 0.0]"
Describe the state of your muscles and your overall level of alertness.,"['Muscles and alertness...', ""There's a noticeable tension in my muscles, a general feeling of being somewhat wound up."", ""My alertness level is heightened, but it's not an extreme state of arousal. Just a bit more aware and responsive than usual.""]","My muscles are quite tense, and I feel moderately alert, but not overly agitated.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.46, 0.0, 0.0, 0.34, 0.0]"
What's the predominant feeling for you at this moment?,"[""Predominant feeling... it's mostly negative."", 'A significant wave of sorrow is washing over me, making everything feel bleak.', ""There's a considerable amount of pain, a constant ache that's hard to ignore."", ""I have absolutely no energy left; I'm utterly drained."", 'My muscles are noticeably tight, adding to the discomfort.', ""There's a slight undercurrent of irritation as well.""]","A heavy sadness and a persistent, dull pain. I'm completely exhausted and a bit tense.","[0.0, 0.67, 0.27, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.67, 0.43, 0.0, 0.0, 0.0, 0.0]"
How would you describe your energy and muscle state right now?,"['Energy and muscles...', ""I'm overflowing with energy, practically vibrating with it. Ready to go, go, go!"", ""But this energy is coupled with very strong muscle tension, like my body is a coiled spring. It's a bit uncomfortable despite the energy.""]","I feel incredibly energetic, almost hyper, but my muscles are very tight.","[0.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.91, 0.0, 0.73, 0.0, 0.0, 0.0, 0.0]"
"Can you tell me about your mood, hunger, and energy levels?","['Mood, hunger, energy...', ""There's a gentle sense of joy, and a definite feeling of anticipation for something."", ""However, I'm quite hungry; my stomach is making itself known."", 'My energy is a bit low, not exhausted but certainly not vibrant.', ""And there's a slight edge of irritation, probably from the hunger and fatigue.""]","I'm feeling a bit happy and expectant, but also quite hungry and a little tired and irritable.","[0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.5, 0.4, 0.0, 0.39, 0.0, 0.0, 0.0, 0.66, 0.0, 0.0]"
What pleasant sensations are you currently aware of?,"['Pleasant sensations... yes.', 'A clear feeling of happiness is here, making me smile.', ""My body is relaxed, and there's a distinct, enjoyable physical sensation."", 'My heart rate is up, a strong, excited pulse, which feels quite invigorating.']","I'm quite happy and feeling a nice sense of physical pleasure. My heart is beating a little faster, in a good way.","[0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.71, 0.43]"
How alert and joyful do you feel at this moment?,"['Alertness and joy...', 'I am highly aroused, my heart is pounding, and my senses are sharp. I feel like I could react to anything instantly.', ""Alongside this intense alertness, there's a small, pleasant spark of joy.""]","I'm extremely alert, my heart is racing! And I feel a little bit of joy too.","[0.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 0.0, 0.83, 0.0]"
Describe your current mix of happiness and physical tension.,"['Happiness and tension...', ""There's a light, pleasant feeling of joy, a small smile on the inside."", ""But physically, I'm extremely wound up. My muscles are rock-hard, like they're cramping. It's a very strong, uncomfortable tightness.""]","I feel a bit happy, but my muscles are incredibly tense, almost painfully so.","[0.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.52, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0]"
"What's your current state regarding mood, energy, and appetite?","['Mood, energy, appetite...', ""I'm in a reasonably good mood, a gentle happiness and a sense of looking forward to something."", 'My energy levels are normal, ready for everyday things.', 'The hunger is noticeable, though, a definite craving for food is building.', ""There's also a tiny hint of irritation, barely there.""]","I'm feeling pretty good, a bit happy and expectant, with decent energy, though I am getting quite hungry.","[0.27, 0.0, 0.18, 0.0, 0.0, 0.0, 0.5, 0.36, 0.0, 0.54, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0]"
How would you describe your overall vitality and anticipation right now?,"['Vitality and anticipation...', 'I feel incredibly energetic, almost hyperactive, like I could run a marathon!', ""There's a strong sense of anticipation, a joyful expectation of something good."", ""However, I'm also really hungry, my stomach is rumbling loudly."", ""And there's a slight undercurrent of anger or impatience, probably due to the hunger and high energy.""]","I'm bursting with energy and feeling quite excited about what's next, though I'm also very hungry and a little edgy.","[0.49, 0.0, 0.22, 0.0, 0.0, 0.0, 0.5, 0.44, 0.0, 0.98, 0.0, 0.0, 0.0, 0.73, 0.0, 0.0]"
What are you noticing about your muscles and any trembling?,"['Muscles and trembling...', ""There's a significant amount of tension in my muscles, they feel quite rigid and uncomfortable."", 'I can also perceive a subtle shaking, not very visible perhaps, but I feel it inside.']","My muscles are very tight, and there's a slight, almost internal tremor.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.68, 0.29, 0.0, 0.0, 0.0]"
Can you share how you're feeling both emotionally and physically?,"['Emotionally and physically...', ""There's a noticeable sadness, a sort of gentle gloom."", ""I'm also experiencing some pain, not severe but a persistent discomfort."", 'My energy is low, I feel quite sluggish and weary.', 'And my muscles are somewhat tense, adding to the general malaise.', 'A tiny bit of irritation is present too.']",I'm feeling a bit down and have a dull ache. I'm also quite tired and my muscles are a little tense.,"[0.0, 0.3, 0.12, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.22, 0.3, 0.31, 0.0, 0.0, 0.0, 0.0]"
Describe any tension or shaking you're experiencing.,"['Tension or shaking...', ""Yes, there's definite muscle tension, a feeling of being wound up and somewhat stiff."", ""And a subtle shaking is present, an internal quivering that's just noticeable.""]","My muscles are noticeably tense, and I feel a slight tremor running through me.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.52, 0.3, 0.0, 0.0, 0.0]"
What's your overall internal experience right now?,"['My internal experience is pretty bleak.', 'A significant wave of sadness is washing over me, coupled with noticeable physical pain.', 'I feel very low on energy, quite weak and tired.', ""My stomach is definitely rumbling; I'm quite hungry."", ""There's also a fair amount of muscle tension, making me feel stiff."", 'And a slight sense of anticipation, a hint of looking forward to something, despite everything else.']","I'm quite sad and in pain, feeling weak and hungry. There's also some tension and a bit of anticipation.","[0.0, 0.57, 0.19, 0.0, 0.0, 0.0, 0.5, 0.31, 0.0, 0.16, 0.57, 0.46, 0.0, 0.52, 0.0, 0.0]"
Are you aware of any muscle tightness or trembling in your body?,"['Muscle tightness or trembling...', 'My muscles feel moderately tight, a noticeable discomfort.', ""And there's a clear, though not overwhelming, tremor. My hands are a little unsteady.""]","Yes, my muscles are somewhat tense, and I'm definitely trembling a bit.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.46, 0.41, 0.0, 0.0, 0.0]"
How would you describe your current mood and physical state?,"['Mood and physical state...', ""I'm experiencing a good amount of joy, a generally positive feeling."", ""I'm also very energetic, almost buzzing with it."", ""However, there's also noticeable pain that's hard to ignore, and my muscles are quite tense."", 'A faint trace of sadness is there, like a distant cloud, and a slight irritation.']","I'm feeling pretty happy and energetic, though there's some pain and muscle tension. A tiny bit of sadness too.","[0.47, 0.04, 0.22, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.93, 0.54, 0.43, 0.0, 0.0, 0.0, 0.0]"
"What sensations of hunger, tension, or anticipation are you feeling?","['Hunger, tension, anticipation...', ""Yes, I'm quite hungry, my stomach is definitely complaining."", 'The muscle tension is severe, almost to the point of pain; I feel like a tightly wound coil.', ""There's a clear feeling of anticipation, waiting for something to happen."", 'My energy is low, and a bit of irritation is simmering.']","I'm quite hungry and extremely tense. There's also a sense of waiting for something, and I'm a bit tired and irritable.","[0.0, 0.0, 0.18, 0.0, 0.0, 0.0, 0.5, 0.36, 0.0, 0.25, 0.0, 0.9, 0.0, 0.6, 0.0, 0.0]"
"Can you describe your current level of arousal, hunger, and anticipation?","['Arousal, hunger, anticipation...', ""I'm definitely feeling a heightened sense of physiological arousal; my pulse is quickened and I feel alert."", ""I'm noticeably hungry, thinking about food."", ""There's a moderate sense of anticipation, a feeling that something is about to occur."", ""A slight touch of irritation is there, and my energy isn't at its peak.""]","I feel quite keyed up, my heart is beating faster. I'm also moderately hungry and anticipating something.","[0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.5, 0.31, 0.0, 0.27, 0.0, 0.0, 0.0, 0.51, 0.59, 0.0]"
What's your mood and energy like right now? Are you hungry?,"['Mood and energy...', ""I'm feeling a pleasant warmth of joy, a definite good mood."", 'My energy levels are high; I feel quite vibrant and capable.', 'Yes, I am moderately hungry, could definitely eat.', ""There's also a sense of anticipation, expecting something nice."", ""A tiny hint of irritation, but it's barely noticeable.""]","I'm feeling good, quite happy and energetic! Also moderately hungry and looking forward to something.","[0.38, 0.0, 0.16, 0.0, 0.0, 0.0, 0.5, 0.32, 0.0, 0.76, 0.0, 0.0, 0.0, 0.53, 0.0, 0.0]"
How would you describe your current joy and any physical trembling?,"['Joy and trembling...', ""There's a good amount of joy present, a bright, positive feeling."", 'I also feel very energetic, ready for action.', 'However, this is accompanied by a significant tremor; my body is visibly shaking, which is a bit disconcerting.']","I'm feeling quite happy and full of energy, but I'm also shaking noticeably.","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.79, 0.0, 0.0, 0.67, 0.0, 0.0, 0.0]"
Can you tell me about any pleasure or tension you're feeling?,"['Pleasure or tension...', ""There's a definite physical pleasure, a warm and enjoyable sensation."", ""Alongside that, though, is extreme muscle tension. My body feels rigid, almost painfully so. It's a strange contrast.""]","I'm feeling a nice sense of pleasure, but my muscles are extremely tight.","[0.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.8, 0.0, 0.0, 0.0, 0.41]"
Describe your current state of physical arousal and any shaking.,"['Physical arousal and shaking...', 'I am very highly aroused; my heart is pounding in my chest, and I feel a surge of adrenaline.', ""This is accompanied by noticeable trembling, a definite unsteadiness in my limbs. I'm quite stirred up.""]","My heart is absolutely racing, and I'm trembling quite a bit. I feel very agitated.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.42, 0.0, 0.77, 0.0]"
"What are the most prominent feelings for you right now, good or bad?","['Prominent feelings... mostly bad, unfortunately.', 'A profound sense of sorrow is weighing me down heavily.', 'The pain is intense and constant, making it hard to focus.', ""I have virtually no energy left; I'm at the point of collapse."", 'My muscles are extremely tense, almost rock-like, adding to the misery.', ""There's a slight undercurrent of irritation as well.""]",Deep sadness and strong pain are overwhelming me. I'm completely exhausted and my muscles are incredibly stiff.,"[0.0, 0.64, 0.26, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.02, 0.64, 0.71, 0.0, 0.0, 0.0, 0.0]"
Are you experiencing any joy or pleasant physical sensations?,"['Joy or pleasant sensations... definitely!', 'A good measure of joy is present, making me feel light and cheerful.', 'My body is relaxed and experiencing a distinct, pleasant warmth.', ""There's a very faint tremor, barely perceptible, but it doesn't detract from the good feelings.""]","Yes, I'm feeling quite happy and there's a lovely physical warmth. Just a slight, almost unnoticeable tremor.","[0.58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.27, 0.0, 0.0, 0.48]"
How intense is your happiness and physical pleasure right now?,"['Happiness and physical pleasure intensity... very high!', ""I'm feeling an almost unbearable level of joy, pure euphoria."", 'The physical sensation is incredibly intense, a blissful delight.', ""My heart is pounding, I'm buzzing with excited energy. It's an amazing feeling!""]",I'm ecstatic! Overwhelming joy and intense physical pleasure. My heart is racing with excitement!,"[0.92, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.8, 0.77]"
Can you describe your muscle state and level of alertness?,"['Muscle state and alertness...', 'My muscles are mostly relaxed, just a slight, lingering tension in some areas.', 'However, I am quite physiologically aroused; my heart rate is elevated, and I feel watchful and ready.']","My muscles are fairly relaxed, just a little bit of tension, but I feel quite alert and my heart is beating faster.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.22, 0.0, 0.0, 0.6, 0.0]"
What's your current energy level and how tense are your muscles?,"['Energy and muscle tension...', 'My energy is quite depleted, feeling sluggish.', ""But my muscles are extremely tense, like they're locked in place. It's quite uncomfortable."", ""Despite this, there's a small, faint flicker of joy or satisfaction.""]","I'm a bit low on energy, and my muscles are very, very tight. Feeling a tiny bit of contentment though.","[0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.28, 0.0, 0.73, 0.0, 0.0, 0.0, 0.0]"
Describe your overall physical and emotional state in detail.,"[""Overall state... it's awful."", 'A profound, crushing sadness is enveloping me.', 'The pain is intense, sharp, and unrelenting.', ""I have absolutely no energy reserves left; I'm completely spent."", 'My muscles are very stiff and tight, adding to the agony.', ""And I'm trembling noticeably, a constant, weary shake. A bit of anger is mixed in too, at this whole situation.""]","I'm in a terrible state. Deeply sad, in severe pain, utterly exhausted. My muscles are rigid, and I'm shaking.","[0.0, 0.77, 0.31, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.77, 0.62, 0.54, 0.0, 0.0, 0.0]"
Are you feeling joyful and energetic? Any pleasant physical feelings?,"['Joyful and energetic? Absolutely.', 'A strong sense of joy is making me feel light and buoyant.', ""I'm also buzzing with energy, feeling very capable and alive."", ""And there's a distinct, quite intense physical pleasure, a warm and delightful sensation throughout my body.""]","Yes, I'm feeling very happy and full of energy! There's a wonderful sense of physical pleasure too.","[0.61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.65]"
How would you describe the intensity of your joy and any trembling?,"['Intensity of joy and trembling...', 'The joy is immense, a powerful, overwhelming wave of happiness.', 'The physical pleasure is also very strong, a blissful sensation.', 'Yes, I am trembling quite a bit, my hands are shaking, but it feels almost like an overflow of the intense positive emotion.']","I'm incredibly happy, almost euphoric! There's a noticeable tremor, but it doesn't dampen the amazing feeling.","[0.88, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.41, 0.0, 0.0, 0.73]"
What's your current experience of happiness and physical stability?,"['Happiness and physical stability...', ""There's a gentle sense of joy, a light, positive feeling."", 'My energy levels are quite good, I feel fairly active.', ""However, I'm experiencing a significant tremor, a strong, visible shaking that makes me feel very unsteady, like I'm shivering intensely.""]","I'm feeling a little bit happy and quite energetic, but I'm shaking quite strongly, like I'm very cold.","[0.27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.53, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0]"
Can you describe the tension in your muscles and your general alertness?,"['Muscle tension and alertness...', 'The tension in my muscles is severe, almost to the point of cramping. They feel like stone.', 'Oddly, despite this physical discomfort, my general level of arousal is quite low. I feel rather subdued, not keyed up at all.']","My muscles are extremely tight, but I feel surprisingly calm and not very alert.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.75, 0.0, 0.0, 0.22, 0.0]"
"How is your mood and energy, and are your muscles tense?","['Mood, energy, and muscle tension...', ""I'm experiencing a pleasant level of joy, a generally good mood."", 'My energy is also quite good, I feel active and capable.', ""However, there's a definite tension in my muscles, making them feel somewhat stiff and sore.""]","I'm feeling pretty good, a bit happy and energetic, though my muscles are noticeably tense.","[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.61, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0]"
What's the strongest sensation or emotion you're feeling right now?,"[""Strongest sensation or emotion... it's a torrent of negativity."", 'The sadness is profound, a deep, aching grief.', 'The pain is severe, sharp, and constant.', 'I have no energy whatsoever, completely depleted.', 'My muscles are very tight, adding to the discomfort.', ""And my heart is hammering in my chest, I'm in a state of extreme physiological arousal, probably from the distress.""]","Overwhelming sadness and intense pain. I'm exhausted, tense, and my heart is absolutely pounding.","[0.0, 0.73, 0.29, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.73, 0.58, 0.0, 0.0, 0.89, 0.0]"
"Describe your current feelings, focusing on joy, hunger, and relaxation.","['Joy, hunger, and relaxation...', 'A good amount of joy is present, a warm, contented feeling.', 'My body is quite relaxed, no significant tension.', ""However, I'm definitely hungry, my stomach is rumbling."", ""There's also a clear sense of anticipation for something pleasant."", ""Energy levels are a bit low, and there's a tiny hint of irritation.""]","I'm feeling quite happy and relaxed, but also pretty hungry and anticipating something. A little tired too.","[0.64, 0.0, 0.2, 0.0, 0.0, 0.0, 0.5, 0.4, 0.0, 0.24, 0.0, 0.0, 0.0, 0.66, 0.0, 0.53]"
"How tense are your muscles, and how alert do you feel?","['Muscle tension and alertness...', 'The tension in my muscles is extreme, they feel like they are locked solid, very uncomfortable.', ""Despite this intense physical discomfort, my overall arousal level is quite low. I don't feel keyed up or particularly aware of my surroundings.""]","My muscles are incredibly tight, almost spasming, but I feel quite calm, not very alert.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.88, 0.0, 0.0, 0.28, 0.0]"
